"","title","year","length","budget","rating","votes","mpaa","genre"
"144671","Just Visiting",2001,93,40000000,5.6,2212,"","Comedy"
"144673","Just William",1940,72,NA,5.9,8,"","Comedy"
"144674","Just Write",1997,102,NA,6.1,363,"PG-13","Comedy"
"144675","Just You and Me, Kid",1979,93,NA,5,149,"","Comedy"
"144678","Just a Gigolo",1931,66,NA,5.7,22,"","Comedy"
"144680","Just a Kiss",2002,89,NA,5.2,400,"R","Comedy"
"144681","Just a Little Harmless Sex",1999,102,NA,5,280,"","Comedy"
"144683","Just for Fun",1963,72,NA,4.4,9,"","Comedy"
"144687","Just in Time",1997,95,NA,5.7,28,"","Comedy"
"144688","Just the Ticket",1999,115,12000000,5.5,610,"R","Comedy"
"144689","Just the Way You Are",1984,94,NA,5.6,135,"","Comedy"
"144700","Justine och Juliette",1975,91,NA,2.8,12,"","Comedy"
"144706","Justino, un asesino de la tercera edad",1994,96,NA,6.9,80,"","Comedy"
"144708","Jutai",1991,108,NA,6.3,19,"","Comedy"
"144717","Juwanna Mann",2002,91,15600000,3.9,885,"PG-13","Comedy"
"144718","Juyuso seubgyuksageun",1999,113,NA,6.9,530,"R","Comedy"
"144719","Jydekompagniet",1988,90,NA,5.6,59,"","Comedy"
"144720","Jydekompagniet 3",1989,100,NA,4.7,51,"","Comedy"
"144725","K-9",1989,101,NA,5.2,2227,"","Comedy"
"144729","KOEKOEK!",1995,14,NA,8.7,19,"","Comedy"
"144733","Ka la shi tiao gou",2003,100,NA,6.8,65,"","Comedy"
"144743","Kabel und Liebe",1995,86,NA,7.7,20,"","Comedy"
"144744","Kabhi Haan Kabhi Naa",1993,158,NA,7.1,91,"","Comedy"
"144756","Kad mrtvi zapjevaju",1999,99,NA,6.5,39,"","Comedy"
"144761","Kadunlakaisijat",1991,80,NA,4.2,54,"","Comedy"
"144763","Kafejou, I",1956,89,NA,8.1,21,"","Comedy"
"144773","Kahlekuningas",2002,94,NA,6.3,146,"","Comedy"
"144775","Kai Rabe gegen die Vatikankiller",1998,92,NA,5.8,171,"","Comedy"
"144776","Kai aus der Kiste",1988,93,NA,6.3,8,"","Comedy"
"144778","Kai... o protos matakias",1982,90,NA,5.8,6,"","Comedy"
"144783","Kaikenlaisia karkulaisia",1981,83,NA,3.3,8,"","Comedy"
"144784","Kaikki rakastavat",1935,80,NA,7.4,9,"","Comedy"
"144786","Kailangan ko'y ikaw",2000,130,NA,7.7,7,"","Comedy"
"144799","Kakabakaba ka ba?",1980,104,NA,9.2,9,"","Comedy"
"144801","Kakav deda takav unuk",1983,92,NA,6.7,7,"","Comedy"
"144804","Kako je poceo rat na mom otoku",1996,97,NA,7.5,172,"","Comedy"
"144805","Kako je propao rokenrol",1989,106,NA,8.6,86,"","Comedy"
"144807","Kako sam sistematski unisten od idiota",1983,98,NA,7.7,21,"","Comedy"
"144812","Kal Ho Naa Ho",2003,186,NA,7.7,628,"","Comedy"
"144824","Kaleidoscope",1966,107,NA,5.3,92,"","Comedy"
"144827","Kali tapa karfitsa",2000,26,NA,7.8,5,"","Comedy"
"144828","Kali's Vibe",2002,93,NA,5.8,6,"","Comedy"
"144834","Kallafiorr",2000,70,NA,6.7,15,"","Comedy"
"144836","Kalos ilthe to dollario",1967,94,NA,7.4,15,"","Comedy"
"144837","Kalpiki lira",1955,127,NA,8.9,140,"","Comedy"
"144845","Kalyteros mou filos, O",2001,104,NA,6.4,73,"","Comedy"
"144849","Kamakia, Ta",1981,93,NA,2.6,5,"","Comedy"
"144850","Kamarad do deste",1988,72,NA,6.3,13,"","Comedy"
"144855","Kameleon sjocht yn it waar, De",2002,35,NA,8,6,"","Comedy"
"144866","Kamikazi, agapi mou",1983,98,NA,5.3,21,"","Comedy"
"144869","Kamillions",1989,121,NA,4.1,15,"","Comedy"
"144871","Kamiondzije opet voze",1984,88,NA,9.7,16,"","Comedy"
"144874","Kammesjukker",2003,35,NA,4.7,13,"","Comedy"
"144898","Kangaroo Jack",2003,89,60000000,3.9,3661,"PG","Comedy"
"144903","Kankkulan kaivolla",1960,97,NA,5,11,"","Comedy"
"144914","Kansas City Princess",1934,64,NA,6.5,27,"","Comedy"
"144920","Kanske en gentleman",1951,90,NA,8.7,7,"","Comedy"
"144926","Kaos",1984,188,NA,8,360,"","Comedy"
"144928","Kapelusz pana Anatola",1957,88,NA,6.7,6,"","Comedy"
"144929","Kapetan Fandis Bastounis",1968,95,NA,7.4,13,"","Comedy"
"144931","Kapital, czyli jak zrobic pieniadze w Polsce",1989,105,NA,6.6,5,"","Comedy"
"144933","Kappert 1: Die Briefmarke",1993,33,NA,1,5,"","Comedy"
"144934","Kappert 1: Die Briefmarke - Das Remake",1995,35,NA,1,5,"","Comedy"
"144935","Kappert 2: Die Photos",1994,53,NA,1,5,"","Comedy"
"144936","Kappert 3: Willkommen Europa",1995,56,NA,1,5,"","Comedy"
"144937","Kappert 4: Irish Brass",1996,35,NA,1,7,"","Comedy"
"144938","Kapriolen",1937,86,NA,5.4,10,"","Comedy"
"144940","Kaptajn Klyde og hans venner vender tilbage",1980,82,NA,1.5,48,"","Comedy"
"144946","Karamuk",2002,97,NA,5.3,16,"","Comedy"
"144947","Karan Arjun",1995,175,NA,6.3,115,"","Comedy"
"144948","Karaoke Fever",2001,90,NA,8.2,12,"","Comedy"
"144957","Karbid und Sauerampfer",1963,85,NA,7.6,28,"","Comedy"
"144967","Karl Valentins Hochzeit",1913,10,NA,7.6,6,"","Comedy"
"144968","Karl ja Marilyn",2003,24,NA,7.6,10,"","Comedy"
"144972","Karma",1986,193,NA,6.6,38,"","Comedy"
"144974","Karmina",1996,110,NA,6.3,202,"","Comedy"
"144975","Karmina 2",2001,97,NA,5.6,117,"","Comedy"
"144977","Karnavalnaya noch",1956,78,NA,7.6,95,"","Comedy"
"144979","Karniggels",1991,94,NA,7.7,160,"","Comedy"
"144980","Karnival Kid, The",1929,8,NA,6.8,40,"","Comedy"
"144982","Karpuz kabugundan gemiler yapmak",2004,97,NA,8.3,185,"","Comedy"
"144984","Kart Racer",2003,94,NA,5.7,74,"PG","Comedy"
"144985","Karumen kokyo ni kaeru",1951,86,NA,6.9,16,"","Comedy"
"144994","Kashmir Ki Kali",1964,168,NA,7.3,14,"","Comedy"
"144998","Kassablanka",2002,100,NA,6.3,97,"","Comedy"
"144999","Kassen stemmer",1976,105,NA,5.6,15,"","Comedy"
"145006","Kate & Leopold",2001,123,48000000,6.3,8060,"PG-13","Comedy"
"145011","Katha",1983,141,NA,7.8,32,"","Comedy"
"145014","Kathleen",1941,88,NA,6.1,24,"","Comedy"
"145016","Kathy O'",1958,99,NA,6.2,24,"","Comedy"
"145017","Kati kourasmena palikaria",1967,96,NA,7.4,19,"","Comedy"
"145018","Kati na kaiei",1963,110,NA,6.9,16,"","Comedy"
"145023","Katnip Kollege",1938,7,NA,5.6,44,"","Comedy"
"145031","Katyi",1942,89,NA,8.7,6,"","Comedy"
"145038","Katzendiebe",1996,85,NA,5.6,61,"","Comedy"
"145040","Kauas pilvet karkaavat",1996,96,NA,7.7,1027,"","Comedy"
"145042","Kavalaris ton FM Stereo, O",1986,90,NA,5.3,10,"","Comedy"
"145043","Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika",1966,82,NA,8.8,348,"","Comedy"
"145046","Kawachi Karumen",1966,89,NA,6.5,9,"","Comedy"
"145053","Kazaam",1996,93,NA,2.3,3500,"PG","Comedy"
"145063","Kdyz rozvod, tak rozvod",1982,79,NA,7.3,5,"","Comedy"
"145066","Kebab Connection",2005,96,NA,7.1,140,"","Comedy"
"145070","Keep 'Em Flying",1941,86,NA,6,138,"","Comedy"
"145073","Keep Fit",1937,82,NA,5.3,7,"","Comedy"
"145074","Keep It Up Downstairs",1976,94,NA,3.7,18,"","Comedy"
"145075","Keep It Up, Jack",1973,84,NA,2.5,12,"","Comedy"
"145076","Keep It in the Family",1973,91,NA,5.7,6,"","Comedy"
"145079","Keep Your Seats, Please",1936,82,NA,5.1,5,"","Comedy"
"145082","Keep the Aspidistra Flying",1997,101,NA,6.1,443,"PG-13","Comedy"
"145095","Keeping the Faith",2000,128,30000000,6.8,11351,"PG-13","Comedy"
"145098","Kegless",1998,88,NA,3.1,44,"","Comedy"
"145099","Kehraus",1983,88,NA,7.8,98,"","Comedy"
"145101","Kehtaa Hai Dil Baar Baar",2002,119,NA,6.4,16,"","Comedy"
"145105","Keimusho no naka",2002,93,NA,7,46,"","Comedy"
"145106","Kein Pardon",1993,97,NA,6.4,242,"","Comedy"
"145107","Keiner liebt mich",1994,104,NA,7.4,342,"","Comedy"
"145110","Kejarlah daku kau kutangkap",1986,95,NA,8.2,5,"","Comedy"
"145117","Kelly and Me",1957,86,NA,5.1,19,"","Comedy"
"145118","Kelly's Heroes",1970,144,NA,7.3,5325,"","Comedy"
"145124","Kenguru, A",1975,95,NA,6.8,5,"","Comedy"
"145128","Kennedy et moi",1999,86,NA,6.8,219,"","Comedy"
"145132","Kenny & Company",1976,90,NA,6.7,80,"","Comedy"
"145136","Kentucky Fried Movie, The",1977,90,600000,6.4,3756,"","Comedy"
"145137","Kentucky Kernels",1934,75,NA,6.2,42,"","Comedy"
"145138","Kentucky Moonshine",1938,87,NA,5.6,8,"","Comedy"
"145143","Kerl liebt mich - und das soll ich glauben?, Der",1969,89,NA,1.1,8,"","Comedy"
"145150","Kettles in the Ozarks, The",1956,81,NA,5.9,27,"","Comedy"
"145151","Kettles on Old MacDonald's Farm, The",1957,81,NA,5.2,24,"","Comedy"
"145154","Keung gaan 2 chai fook yau waak",1998,89,NA,4.3,14,"","Comedy"
"145156","Kevin & Perry Go Large",2000,83,NA,4.6,1284,"R","Comedy"
"145157","Kevin of the North",2001,100,NA,4.4,272,"PG-13","Comedy"
"145159","Key Exchange",1985,97,NA,4.7,73,"","Comedy"
"145163","Key to Sex, The",1998,86,NA,3.8,62,"R","Comedy"
"145164","Key to the City",1950,101,NA,6.4,80,"","Comedy"
"145167","Keyhole, The",1933,69,169000,6.3,50,"","Comedy"
"145168","Keyholes Are for Peeping",1972,70,NA,1.3,9,"","Comedy"
"145174","Khab-e sefid",2002,90,NA,7,7,"","Comedy"
"145175","Khab-e talkh",2004,87,NA,7.2,25,"","Comedy"
"145190","Khochu v tyurmu",1999,98,NA,4.4,20,"","Comedy"
"145194","Khoobsurat",1999,153,NA,5.2,28,"","Comedy"
"145205","Ki lo sa?",1985,90,NA,4.5,8,"","Comedy"
"145213","Kickboxing Academy",1997,84,NA,2,190,"PG-13","Comedy"
"145214","Kicked in the Head",1997,87,4000000,4.2,271,"R","Comedy"
"145216","Kickin' the Conga Round",1942,7,NA,4.8,6,"","Comedy"
"145217","Kickin' the Crown Around",1933,19,NA,5.2,5,"","Comedy"
"145218","Kicking & Screaming",2005,95,NA,6.3,87,"PG","Comedy"
"145219","Kicking and Screaming",1995,96,NA,6.7,1363,"R","Comedy"
"145221","Kid Auto Races at Venice",1914,11,NA,6.1,110,"","Comedy"
"145222","Kid Blue",1973,100,NA,5.6,80,"","Comedy"
"145223","Kid Brother, The",1927,84,NA,8.3,285,"","Comedy"
"145227","Kid Dynamite",1943,66,NA,5.6,78,"","Comedy"
"145229","Kid From Kokomo, The",1939,93,NA,6.2,13,"","Comedy"
"145230","Kid From Texas, The",1939,71,NA,5.3,30,"","Comedy"
"145234","Kid Millions",1934,90,NA,6.3,67,"","Comedy"
"145236","Kid Nightingale",1939,57,NA,5.2,21,"","Comedy"
"145237","Kid Quick",2000,15,NA,8.9,10,"","Comedy"
"145240","Kid Speed",1924,18,NA,5.7,25,"","Comedy"
"145244","Kid for Two Farthings, A",1955,96,NA,7.3,82,"","Comedy"
"145245","Kid from Borneo, The",1933,18,21500,8,65,"","Comedy"
"145246","Kid from Brooklyn, The",1946,113,NA,6.5,159,"","Comedy"
"145248","Kid from Left Field, The",1953,80,NA,5.9,82,"","Comedy"
"145252","Kid in Hollywood",1932,10,NA,3.7,18,"","Comedy"
"145253","Kid in King Arthur's Court, A",1995,89,NA,4.7,519,"PG","Comedy"
"145255","Kid, The",1921,54,250000,8.2,2687,"","Comedy"
"145257","Kid, The",2000,104,65000000,6.1,5418,"PG","Comedy"
"145258","Kidco",1984,105,NA,5.1,127,"","Comedy"
"145260","Kiddies Kitty, A",1955,6,NA,5.3,20,"","Comedy"
"145261","Kiddin' the Kitten",1952,7,NA,6.3,18,"","Comedy"
"145273","Kids World",2001,93,NA,4.6,36,"PG","Comedy"
"145274","Kids in the Hall: Brain Candy",1996,89,NA,6.4,2720,"","Comedy"
"145275","Kids in the Hall: Same Guys, New Dresses",2001,93,NA,8.2,140,"","Comedy"
"145276","Kids of Shaolin",1977,90,NA,5.7,13,"","Comedy"
"145282","Kika",1993,114,NA,6.2,1568,"","Comedy"
"145284","Kiki",1926,108,NA,2.9,5,"","Comedy"
"145289","Kikujiro no natsu",1999,121,NA,7.5,2837,"PG-13","Comedy"
"145291","Kiler",1997,104,NA,6.9,338,"","Comedy"
"145292","Kilichundan Mampazham",2003,154,NA,5.4,5,"","Comedy"
"145309","Kill or Cure",1923,11,NA,5.6,8,"","Comedy"
"145310","Kill or Cure",1962,88,NA,5.1,29,"","Comedy"
"145312","Kill the Man",1999,86,NA,4.8,189,"R","Comedy"
"145314","Kill the Umpire",1950,78,NA,6.5,115,"","Comedy"
"145317","Kille och en tjej, En",1975,94,NA,5.6,49,"","Comedy"
"145320","Killer Barbys",1996,87,NA,3.5,120,"","Comedy"
"145321","Killer Barbys vs. Dracula",2002,86,NA,3.8,57,"","Comedy"
"145322","Killer Bean 2: The Party",2000,7,2800,7,110,"","Comedy"
"145323","Killer Bud",2001,92,NA,3.7,115,"R","Comedy"
"145324","Killer Dill",1947,75,NA,5.5,8,"","Comedy"
"145337","Killer Klowns from Outer Space",1988,88,2000000,5.3,2702,"","Comedy"
"145342","Killer Nerd",1991,90,NA,3.4,78,"","Comedy"
"145343","Killer Party",1986,91,NA,4,117,"","Comedy"
"145346","Killer Tattoo",2001,111,NA,6,103,"","Comedy"
"145348","Killer Tomatoes Eat France!",1991,94,NA,2.8,188,"","Comedy"
"145349","Killer Tomatoes Strike Back!",1990,87,NA,2.6,176,"","Comedy"
"145353","Killer per caso",1997,110,NA,4.9,62,"","Comedy"
"145371","Killing Dad",1989,93,NA,3.5,37,"","Comedy"
"145378","Killing Kevin",2004,22,20000,8,6,"","Comedy"
"145402","Kimberley Jim",1965,81,NA,5.8,11,"","Comedy"
"145403","Kimberly",1999,106,2000000,5.3,231,"R","Comedy"
"145410","Kimurake no hitobito",1988,113,NA,7,25,"","Comedy"
"145412","Kind Hearts and Coronets",1949,106,NA,8.2,3489,"","Comedy"
"145422","Kindergarten Cop",1990,111,NA,5.8,13476,"","Comedy"
"145429","King Arthur Was a Gentleman",1942,99,NA,5.4,11,"","Comedy"
"145435","King Frat",1979,82,NA,3.4,100,"","Comedy"
"145438","King Kelly of the U.S.A.",1934,66,NA,1.3,13,"","Comedy"
"145440","King Kong",1976,134,24000000,5.3,3181,"","Comedy"
"145448","King Ralph",1991,97,NA,4.7,3007,"","Comedy"
"145454","King Solomon's Mines",1985,100,12500000,4.4,1662,"","Comedy"
"145457","King Uncle",1993,171,NA,6.2,24,"","Comedy"
"145458","King and Four Queens, The",1956,84,NA,5.7,109,"","Comedy"
"145459","King and I, The",1956,133,NA,7.4,3694,"","Comedy"
"145461","King and the Chorus Girl, The",1937,94,NA,6.1,41,"","Comedy"
"145462","King for a Day",1940,7,NA,5.5,10,"","Comedy"
"145464","King in New York, A",1957,105,NA,6.7,561,"","Comedy"
"145467","King of Comedy, The",1983,109,20000000,7.5,6189,"","Comedy"
"145492","King of the Mardi Gras",1935,8,NA,7,11,"","Comedy"
"145493","King of the Moon",2004,21,NA,7,7,"","Comedy"
"145505","King of the Zombies",1941,67,NA,4.5,131,"","Comedy"
"145509","King's Ransom",2005,95,NA,2,217,"PG-13","Comedy"
"145513","King's Vacation, The",1933,61,NA,6,25,"","Comedy"
"145514","King, Queen, Knave",1972,94,NA,4.9,29,"","Comedy"
"145515","King-Size Canary",1947,8,NA,8.5,74,"","Comedy"
"145521","Kingpin",1996,117,25000000,6.6,10643,"PG-13","Comedy"
"145528","Kingsajz",1988,105,NA,7.8,164,"","Comedy"
"145530","Kingukongu tai Gojira",1962,91,NA,5.1,539,"","Comedy"
"145533","Kink in the Picasso, A",1990,90,NA,4.8,6,"","Comedy"
"145535","Kinky Business",1985,85,NA,6.8,26,"","Comedy"
"145537","Kinky Coaches and the Pom Pom Pussycats, The",1981,91,2500000,1.9,16,"","Comedy"
"145544","Kipps",1941,82,NA,6.3,33,"","Comedy"
"145546","Kira kira hikaru",1992,103,NA,5.4,33,"","Comedy"
"145548","Kiriki, acrobates japonais, Les",1907,3,NA,4.6,6,"","Comedy"
"145551","Kirschen in Nachbars Garten",1935,85,NA,3.5,12,"","Comedy"
"145553","Kiru",1968,115,NA,6.8,49,"","Comedy"
"145560","Kismet",1955,113,2692960,5.8,205,"","Comedy"
"145575","Kiss Me Cat",1953,7,NA,8,33,"","Comedy"
"145577","Kiss Me Goodbye",1982,101,NA,5.6,302,"","Comedy"
"145578","Kiss Me Kate",1953,109,NA,7.3,729,"","Comedy"
"145579","Kiss Me Quick!",1964,70,NA,4.8,43,"","Comedy"
"145580","Kiss Me, Guido",1997,86,NA,5.9,727,"R","Comedy"
"145581","Kiss Me, Stupid",1964,125,3500000,7,712,"","Comedy"
"145582","Kiss My Blood",1998,85,NA,5.5,16,"","Comedy"
"145583","Kiss Them for Me",1957,105,NA,5.5,207,"","Comedy"
"145584","Kiss Toledo Goodbye",1999,92,NA,4.4,174,"R","Comedy"
"145587","Kiss and Make Up",1934,78,NA,5.1,16,"","Comedy"
"145588","Kiss and Run",2002,88,NA,7,22,"","Comedy"
"145589","Kiss and Tell",1945,90,NA,6.5,13,"","Comedy"
"145591","Kiss for Corliss, A",1949,88,NA,5.3,11,"","Comedy"
"145593","Kiss in the Dark, A",1949,87,NA,5.3,24,"","Comedy"
"145614","Kiss, The",2003,90,NA,5.5,74,"","Comedy"
"145618","Kisses and Caroms",2004,81,NA,5.6,41,"","Comedy"
"145619","Kisses for Breakfast",1941,82,NA,5.7,32,"","Comedy"
"145620","Kisses for My President",1964,113,NA,4.8,45,"","Comedy"
"145622","Kissing Bandit, The",1948,100,NA,4.5,57,"","Comedy"
"145623","Kissing Jessica Stein",2001,97,1000000,7,4236,"R","Comedy"
"145626","Kissing a Fool",1998,93,NA,5.6,1579,"R","Comedy"
"145628","Kit",1970,76,NA,8.3,16,"","Comedy"
"145630","Kit for Cat",1948,7,NA,7.1,64,"","Comedy"
"145634","Kitayskiy serviz",1999,98,NA,4.9,21,"","Comedy"
"145638","Kitchen Soup for the Soul",2004,1,NA,9.8,8,"","Comedy"
"145642","Kitosch, l'uomo che veniva dal sud",1969,95,NA,4.5,7,"","Comedy"
"145643","Kitrina gantia, Ta",1960,84,NA,8.4,49,"","Comedy"
"145647","Kitty Foiled",1948,6,NA,7.6,42,"","Comedy"
"145649","Kitty Kornered",1946,7,NA,7.3,45,"","Comedy"
"145652","Kitty und die Weltkonferenz",1939,97,NA,8.5,6,"","Comedy"
"145655","Kjell universell",2003,29,NA,6.3,11,"","Comedy"
"145656","Klaani - tarina Sammakoitten suvusta",1984,95,NA,7.1,68,"","Comedy"
"145663","Klassfesten",2002,103,NA,5.9,440,"","Comedy"
"145664","Klassikko",2001,80,NA,6.7,209,"","Comedy"
"145667","Klavim Lo Novhim Beyarok",1996,92,NA,7.7,23,"","Comedy"
"145668","Klearhos, I Marina kai o kodos, O",1961,89,NA,8.3,21,"","Comedy"
"145669","Kleene Punker, Der",1992,74,NA,5.3,29,"","Comedy"
"145670","Kleftroni kai gentleman",1986,84,NA,7.5,13,"","Comedy"
"145671","Kleid, Das",1961,88,NA,8.3,5,"","Comedy"
"145672","Klein Erna auf dem Jungfernstieg",1969,87,NA,3.1,12,"","Comedy"
"145676","Kleine Haie",1992,87,NA,7.6,415,"","Comedy"
"145678","Kleine Kreise",2001,85,NA,6.3,6,"","Comedy"
"145679","Kleine Teun",1998,95,NA,6.5,184,"","Comedy"
"145681","Kleines Arschloch",1997,82,NA,5.2,358,"","Comedy"
"145682","Kleines Tropicana - Tropicanita",1997,108,NA,7.7,25,"","Comedy"
"145685","Kleinruppin Forever",2004,103,NA,6.8,82,"","Comedy"
"145694","Klironomoi, Oi",1964,80,NA,7.5,17,"","Comedy"
"145697","Klondike Annie",1936,80,NA,6.6,56,"","Comedy"
"145699","Klondike Kid, The",1932,7,NA,7.4,29,"","Comedy"
"145701","Klotsoskoufi, To",1960,88,NA,5.7,10,"","Comedy"
"145704","Km. 0",2000,100,NA,7.7,354,"R","Comedy"
"145705","Knack, The",1965,84,364000,6.7,364,"","Comedy"
"145707","Knallharte Jungs",2002,87,NA,4,434,"","Comedy"
"145709","Knick Knack",1989,4,NA,8.1,897,"","Comedy"
"145710","Knickerbocker Holiday",1944,85,NA,4.1,23,"","Comedy"
"145711","Knife of the Party, The",1934,20,NA,6,7,"","Comedy"
"145715","Knight for a Day, A",1946,7,NA,7,53,"","Comedy"
"145716","Knight's Tale, A",2001,132,41000000,6.5,15006,"PG-13","Comedy"
"145717","Knight-Mare Hare",1955,7,NA,7.1,60,"","Comedy"
"145719","Knights Must Fall",1949,7,NA,7.1,31,"","Comedy"
"145723","Knighty Knight Bugs",1958,6,NA,7.4,110,"","Comedy"
"145726","Knock",1951,98,NA,7.7,34,"","Comedy"
"145727","Knock Knock",1940,7,NA,7.8,15,"","Comedy"
"145731","Knock on Wood",1954,103,NA,6.7,153,"","Comedy"
"145733","Knockaround Guys",2001,91,NA,5.9,3848,"R","Comedy"
"145734","Knockin' On Heaven's Door",1997,87,NA,7.5,1959,"","Comedy"
"145739","Knockout, The",1914,27,NA,6,60,"","Comedy"
"145740","Knots",2004,93,NA,7.5,42,"R","Comedy"
"145741","Know Thy Wife",1918,13,NA,6.3,9,"","Comedy"
"145749","Knutsen & Ludvigsen",1974,86,NA,4.4,7,"","Comedy"
"145750","Knutzy Knights",1954,17,NA,6.7,26,"","Comedy"
"145753","Ko to tamo peva",1980,86,NA,8.1,664,"","Comedy"
"145756","Ko-Ko's Earth Control",1928,6,NA,8.1,19,"","Comedy"
"145757","Kochaj albo rzuc",1978,114,NA,6.6,49,"","Comedy"
"145759","Kochavim Shel Shlomi, Ha-",2003,94,NA,7,124,"","Comedy"
"145761","Kocken",2005,111,NA,4,10,"","Comedy"
"145764","Koeputkiaikuinen ja Simon enkelit",1979,87,NA,4.7,117,"","Comedy"
"145765","Koffer des Herrn O.F., Die",1931,80,NA,8.3,11,"","Comedy"
"145769","Kogel mogel",1989,105,NA,6.4,23,"","Comedy"
"145775","Koi no mon",2004,114,NA,6.6,32,"","Comedy"
"145777","Koi wa maiorita",1997,107,NA,8,6,"","Comedy"
"145786","Koko Flanel",1990,95,NA,5.7,310,"","Comedy"
"145795","Kolejnosc uczuc",1992,99,NA,6.2,21,"","Comedy"
"145797","Kollega's maken de Brug, De",1988,96,NA,5.8,47,"","Comedy"
"145799","Kolmastoista koputus",1945,80,NA,7.1,6,"","Comedy"
"145807","Komedia matrymonialna",1994,105,NA,5.8,7,"","Comedy"
"145810","Komediya o Lisistrate",1989,99,NA,5.8,8,"","Comedy"
"145811","Komediya strogogo rezhima",1993,78,NA,7.4,21,"","Comedy"
"145812","Komikku zasshi nanka iranai!",1986,120,NA,7.5,16,"","Comedy"
"145814","Komischer Heiliger, Ein",1979,83,NA,4.8,7,"","Comedy"
"145815","Komissa tis Kerkyras, I",1972,83,NA,3.9,11,"","Comedy"
"145818","Komm, liebe Maid und mache",1969,90,NA,4.4,7,"","Comedy"
"145838","Kondom des Grauens",1996,107,NA,5.2,583,"","Comedy"
"145841","Koneko monogatari",1986,76,NA,6.8,924,"","Comedy"
"145848","Kong woo giu gap",2000,111,NA,7.2,71,"","Comedy"
"145864","Konsul",1989,104,NA,7.2,11,"","Comedy"
"145868","Konto separato",1997,110,NA,5.6,10,"","Comedy"
"145875","Kook's Tour",1970,53,NA,4.6,26,"","Comedy"
"145877","Kopeyka",2002,100,NA,5.2,33,"","Comedy"
"145881","Kopps",2003,90,NA,6.7,2448,"","Comedy"
"145887","Kori mou i sosialistria, I",1966,94,NA,6.8,27,"","Comedy"
"145891","Koritsi me tis valitses, To",1993,127,NA,6.1,19,"","Comedy"
"145894","Koritsia gia filima",1965,109,NA,7,14,"","Comedy"
"145897","Koroido gabre",1962,82,NA,8.1,7,"","Comedy"
"145899","Korol-olen",1969,77,NA,6.5,13,"","Comedy"
"145900","Koroleva benzokolonki",1963,78,NA,6.9,10,"","Comedy"
"145911","Kort en lang, En",2001,100,NA,6.1,517,"","Comedy"
"145914","Kosher",2002,5,NA,8,5,"","Comedy"
"145915","Koshikei",1968,117,NA,8,66,"","Comedy"
"145918","Kosmetikkrevolusjonen",1977,80,NA,3.7,11,"","Comedy"
"145924","Kotch",1971,113,NA,6.5,181,"","Comedy"
"145927","Kotsos kai oi exoghinoi, O",1980,101,NA,8.2,9,"","Comedy"
"145928","Kotsos stin EOK, O",1980,99,NA,8.5,6,"","Comedy"
"145932","Kour",1991,89,NA,7.8,79,"","Comedy"
"145935","Kovat miehet",1999,19,NA,7.1,29,"","Comedy"
"145953","Krama mig!",2005,86,NA,5.3,9,"","Comedy"
"145961","Kratka",1996,50,NA,5.7,6,"","Comedy"
"145962","Krav Al HaVa'ad, Ha-",1986,90,NA,6,7,"","Comedy"
"145965","Krazy Kat and Ignatz Mouse at the Circus",1916,3,NA,4.7,28,"","Comedy"
"145966","Krazy Kat, Bugologist",1916,3,NA,4.9,19,"","Comedy"
"145968","Kreivi",1971,92,NA,5.5,17,"","Comedy"
"145977","Krima to boi sou",1970,84,NA,7,5,"","Comedy"
"145979","Kriminaltango",1960,88,NA,5.1,14,"","Comedy"
"145980","Krippendorf's Tribe",1998,94,NA,4.6,1451,"PG-13","Comedy"
"145984","Kristin kommenderar",1946,96,NA,4.9,24,"","Comedy"
"146002","Krouaziera sti Rodo",1960,80,NA,6.2,9,"","Comedy"
"146018","Krtiny",1981,76,NA,5.6,6,"","Comedy"
"146024","Krummerne",1991,85,NA,4.9,86,"","Comedy"
"146025","Krummerne 2: Stakkels Krumme",1992,97,NA,4.3,61,"","Comedy"
"146037","Kshana Kshanam",1991,158,NA,8.6,24,"","Comedy"
"146039","Ktipokardia sto thranio",1963,114,NA,7.7,28,"","Comedy"
"146045","Kubanisch rauchen",1999,88,NA,6.3,17,"","Comedy"
